?British School	1545  1330,785
Aumonier  James	1889  959,1657
Austin  Robert	1941  540,660
Austin  Robert	1925  362,495
Austin  Robert	1930  482,381
Avery  Charles	2009  2400,5100
Avery  Milton	1958  1562,1841
Aylesford  Heneage Finch  Fifth Earl of	1802  113,215
Aylesford  Heneage Finch  Fourth Earl of	1803  210,248
Aylesford  Heneage Finch  Fourth Earl of	1784  305,204
Ayres  OBE Gillian	1990  2439,3658
Ayres  OBE Gillian	1994  2442,2136
Ayres  OBE Gillian	1982  2893,2872
Ayres  OBE Gillian	1973  1680,1250
Ayres  OBE Gillian	1961  1524,3048
Ayres  OBE Gillian	1957  2134,1524
Ayrton  Michael	1942  581,752
Ayrton  Michael	1955  805,1000
Ayrton  Michael	1949  1220,1830
Ayrton  Michael	1960  210,276
Baalbaki  Ayman	2010  1800,2003
Bacon  Francis	1957  340,270
Bacon  Francis	1957  270,340
Bacon  Francis	1952  661,561
Bacon  Francis	1975  1981,1473
Bacon  Francis	1966  813,686
Bacon  Francis	1963  1981,1473
Bacon  Francis	1961  1651,1422
Bacon  Francis	1945  1448,1283
Bacon  Francis	1961  1988,1416
Bacon  Francis	1952  1981,1372
Bacon  Francis	1957  340,265
Bacon  Francis	1957  254,190
Bacon  Francis	1957  1524,1168
Bacon  Francis	1955  610,508
Bacon  Francis	1952  339,263
Bacon  Francis	1961  238,156
Bacon  Francis	1961  222,150
Bacon  John Henry F.	1906  702,832
Baer  Jo	1967  1835,1829
Baertling  Olle	1963  1949,968
Baj  Enrico	1963  1286,972
Balla  Giacomo	1913  502,654
Banc  Jef	1956  730,600
Banner  Fiona	1998  2744,4273
Banting  John	1935  524,460
Barenger  James	1813  1016,1270
Barker  Margaret	1929  622,914
Barker  Thomas  of Bath	1787  2362,1486
Barker  Thomas  of Bath	1815  813,1130
Barker  Thomas  of Bath	1800  762,610
Barker  Thomas  of Bath	1796  756,629
Barker  Thomas  of Bath	1798  815,1070
Barker  Thomas  of Bath	1807  660,991
Barlow  Francis	1661  1055,1320
Barlow  Francis	1680  132,175
Barlow  Phyllida	2003  560,762
Barlow  Phyllida	1980  570,772
Barlow  Phyllida	1990  295,420
Barlow  Phyllida	1995  483,752
Barlow  Phyllida	1997  379,561
Barlow  Phyllida	1997  591,835
Barlow  Phyllida	1967  558,560
Barlow  Phyllida	1970  558,680
Barlow  Phyllida	1975  558,762
Barlow  Phyllida	1997  640,897
Barlow  Phyllida	2004  380,566
Barlow  Phyllida	2006  560,762
Barlow  Phyllida	2003  558,760
Barnard  Rev. William Henry	1790  269,192
Barnard  Rev. William Henry	1795  655,500
Barnard  Rev. William Henry	1792  269,417
Barnard  Rev. William Henry	1815  215,295
Barns-Graham  Wilhelmina	1993  771,961
Barns-Graham  Wilhelmina	1996  1375,2082
Barret  George  Junior	1825  222,183
Barron  Hugh	1768  1060,1397
Barry  James	1770  210,286
Barry  James	1786  2692,3670
Barth  Uta	1997  3460,4157
Baselitz  Georg	1989  2504,2510
Baselitz  Georg	1967  611,430
Baselitz  Georg	1982  2500,3005
Baselitz  Georg	1965  1627,1302
Baselitz  Georg	1989  2504,2505
Baselitz  Georg	1982  2010,1508
Bateman  James	1844  203,254
Bateman  James	1937  914,1118
Bateman  James	1935  1016,1270
Bateman  James	1928  991,1829
Bauchant  André	1937  302,1460
Bauchant  André	1940  1140,1949
Bauer  Marius	1891  689,521
Bawden  Edward	1941  470,597
Bawden  Edward	1958  464,578
Bawden  Edward	1956  470,581
Bawden  Edward	1954  451,571
Bawden  Edward	1987  498,645
Bawden  Edward	1950  565,718
Bawden  Edward	1942  457,1206
Bawden  Edward	1986  504,654
Bawden  Edward	1942  451,1156
Bawden  Edward	1941  457,578
Bawden  Edward	1941  394,514
Bawden  Edward	1941  394,521
Bawden  Edward	1941  381,978
Bawden  Edward	1940  394,514
Bawden  Edward	1939  457,546
Bawden  Edward	1941  464,591
Baxter  Thomas Tennant	1919  350,247
Bayes  Walter	1933  724,1168
Baziotes  William	1957  1219,1524
Beach  Thomas	1773  759,641
Beale  Mary	1660  325,245
Beale  Mary	1681  535,460
Beardsley  Aubrey	1894  762,635
Beardsley  Aubrey	1892  254,254
Beardsley  Aubrey	1895  260,245
Beardsley  Aubrey	1894  286,187
Beardsley  Aubrey	1894  260,216
Beardsley  Aubrey	1894  178,162
Beardsley  Aubrey	1895  279,178
Beardsley  Aubrey	1894  279,181
Beare  George	1746  759,632
Beattie  Basil	2005  2745,2437
Beaumont  Sir George Howland  Bt	1819  756,1016
Beaumont  Sir George Howland  Bt	1795  133,159
Beaumont  Sir George Howland  Bt	1803  311,279
Beaumont  Sir George Howland  Bt	1790  165,225
Beckmann  Max	1920  1864,918
Beckmann  Max	1944  1003,768
Beechey  Sir William	1812  762,635
Beechey  Sir William	1790  762,635
Beechey  Sir William	1795  765,635
Beerbohm  Sir Max	1916  305,298
Beerbohm  Sir Max	1917  298,419
Beerbohm  Sir Max	1916  438,318
Beerbohm  Sir Max	1913  305,406
Beerbohm  Sir Max	1916  292,394
Beerbohm  Sir Max	1916  349,286
Beerbohm  Sir Max	1917  318,387
Beerbohm  Sir Max	1917  406,298
Beerbohm  Sir Max	1916  400,368
Beerbohm  Sir Max	1914  394,283
Beerbohm  Sir Max	1907  343,419
Beerbohm  Sir Max	1907  368,318
Beerbohm  Sir Max	1916  330,419
Beerbohm  Sir Max	1910  406,206
Beerbohm  Sir Max	1916  375,257
Beerbohm  Sir Max	1917  343,286
Beerbohm  Sir Max	1916  311,387
Beerbohm  Sir Max	1916  225,349
Beerbohm  Sir Max	1916  337,273
Beerbohm  Sir Max	1917  330,260
Beerbohm  Sir Max	1917  324,432
Beerbohm  Sir Max	1916  324,432
Beerbohm  Sir Max	1916  362,397
Beerbohm  Sir Max	1916  330,248
Beerbohm  Sir Max	1916  451,298
Beerbohm  Sir Max	1916  324,210
Beerbohm  Sir Max	1916  286,419
Beerbohm  Sir Max	1916  273,419
Beeton  Alan	1929  343,394
Belcher  George	1908  356,261
Belcher  George	1909  295,215
Bell  Graham	1937  762,635
Bell  Graham	1938  635,762
Bell  John Zephaniah	1868  1321,1765
Bell  Larry	1979  1524,924
Bell  Larry	1979  1527,1076
Bell  Laura Anning	1910  502,400
Bell  Robert Anning	1900  387,540
Bell  Robert Anning	1933  552,781
Bell  Robert Anning	1906  495,749
Bell  Robert Anning	1917  1422,762
Bell  Trevor	1997  700,1000
Bell  Trevor	1991  787,984
Bell  Trevor	1989  750,984
Bell  Trevor	1989  750,980
Bell  Trevor	1989  750,975
Bell  Trevor	1988  750,960
Bell  Trevor	1970  1160,2140
Bell  Trevor	1959  723,702
Bell  Trevor	1959  762,562
Bell  Trevor	1962  1219,1830
Bell  Trevor	1961  610,610
Bell  Trevor	2007  702,1000
Bell  Vanessa	1915  737,578
Bell  Vanessa	1912  511,530
Bell  Vanessa	1914  559,457
Bell  Vanessa	1915  724,610
Bell  Vanessa	1920  610,457
Bell  Vanessa	1931  908,730
Bell  Vanessa	1921  540,641
Bell  Vanessa	1922  813,654
Bell  Vanessa	1912  762,1016
Bell  Vanessa	1914  441,387
Bellany  John	1967  560,380
Bellany  John	1967  527,431
Bellany  John	1978  2540,1270
Bellany  John	1966  1841,2454
Bellany  John	1988  774,568
Bellany  John	1988  570,386
Bellany  John	2002  1015,761
Bellegarde  Claude	1957  549,1003
Bellingham-Smith  Elinor	1947  610,914
Bellmer  Hans	1957  482,320
Bellmer  Hans	1937  648,648
Bellmer  Hans	1937  185,752
Benazech  Peter Paul	1788  225,335
Bennett  William	1852  368,546
Benois  Alexander	1894  359,260
Benois  Nadia	1935  635,762
Benson  Abraham Harris	1928  155,368
Benson  Abraham Harris	1929  282,267
Berg  Adrian	1982  1775,1774
Berkeley  Rev C J R	1802  154,269
Berman  Eugène	1934  810,600
Bernik  Janez	1960  1407,851
Berry  John  CBE	1969  361,363
Bettes  John	1545  470,410
Beuys  Joseph	1958  207,285
Beuys  Joseph	1977  327,450
Beuys  Joseph	1949  207,297
Beuys  Joseph	1951  622,297
Beuys  Joseph	1952  209,254
Beuys  Joseph	1952  209,297
Beuys  Joseph	1975  330,230
Beuys  Joseph	1953  298,414
Beuys  Joseph	1981  210,296
Beuys  Joseph	1953  391,474
Beuys  Joseph	1954  193,122
Beuys  Joseph	1955  295,490
Beuys  Joseph	1956  316,241
Beuys  Joseph	1958  207,290
Beuys  Joseph	1958  428,301
Beuys  Joseph	1995  837,340
Beuys  Joseph	1984  417,296
Beuys  Joseph	1963  647,434
Beuys  Joseph	1957  1390,963
Beuys  Joseph	1955  302,244
Beuys  Joseph	1980  452,702
Beuys  Joseph	1980  455,703
Beuys  Joseph	1984  316,240
Beuys  Joseph	1984  370,274
Beuys  Joseph	1984  316,217
Beuys  Joseph	1981  577,367
Beuys  Joseph	1980  535,500
Beuys  Joseph	1978  479,199
Beuys  Joseph	1977  214,134
Beuys  Joseph	1974  208,148
Beuys  Joseph	1973  241,172
Beuys  Joseph	1972  590,420
Beuys  Joseph	1971  214,268
Beuys  Joseph	1969  526,188
Beuys  Joseph	1968  264,200
Beuys  Joseph	1967  692,694
Beuys  Joseph	1966  400,564
Beuys  Joseph	1966  514,411
Beuys  Joseph	1966  447,311
Beuys  Joseph	1966  240,372
Beuys  Joseph	1965  209,297
Beuys  Joseph	1965  210,298
Beuys  Joseph	1965  417,296
Beuys  Joseph	1965  254,256
Beuys  Joseph	1965  608,527
Beuys  Joseph	1964  333,366
Beuys  Joseph	1964  344,184
Beuys  Joseph	1964  296,209
Beuys  Joseph	1964  568,208
Beuys  Joseph	1964  295,208
Beuys  Joseph	1964  391,270
Beuys  Joseph	1963  508,363
Beuys  Joseph	1963  620,218
Beuys  Joseph	1962  636,633
Beuys  Joseph	1962  397,1542
Beuys  Joseph	1962  388,279
Beuys  Joseph	1961  297,209
Beuys  Joseph	1961  177,164
Beuys  Joseph	1961  430,365
Beuys  Joseph	1961  220,220
Beuys  Joseph	1961  755,774
Beuys  Joseph	1959  200,292
Beuys  Joseph	1959  296,207
Beuys  Joseph	1959  279,214
Beuys  Joseph	1959  210,297
Beuys  Joseph	1958  210,297
Beuys  Joseph	1958  351,475
Beuys  Joseph	1958  287,203
Beuys  Joseph	1958  180,237
Beuys  Joseph	1957  316,241
Beuys  Joseph	1956  252,200
Beuys  Joseph	1954  213,304
Beuys  Joseph	1954  502,685
Beuys  Joseph	1958  238,532
Beuys  Joseph	1954  399,466
Beuys  Joseph	1954  276,305
Beuys  Joseph	1945  474,317
Beuys  Joseph	1946  208,297
Beuys  Joseph	1972  1896,987
Beuys  Joseph	1974  1000,1300
Beuys  Joseph	1976  408,248
Beuys  Joseph	1970  2330,2275
Beuys  Joseph	1964  738,1052
Beuys  Joseph	1976  210,290
Beuys  Joseph	1974  758,557
Beuys  Joseph	1974  253,260
Beuys  Joseph	1966  209,296
Beuys  Joseph	1965  297,208
Beuys  Joseph	1965  296,209
Beuys  Joseph	1964  766,741
Beuys  Joseph	1964  236,195
Beuys  Joseph	1964  294,209
Beuys  Joseph	1963  280,215
Beuys  Joseph	1959  276,214
Beuys  Joseph	1961  238,339
Beuys  Joseph	1959  429,395
Beuys  Joseph	1959  240,252
Beuys  Joseph	1959  207,297
Bevan  Robert	1913  432,533
Bevan  Robert	1893  256,352
Bevan  Robert	1910  635,762
Bevan  Robert	1912  787,1219
Bevan  Robert	1904  219,264
Bevan  Tony	1990  880,710
Bevan  Tony	1995  2586,3610
Bigge  John	1931  448,606
Bigge  John	1933  575,768
Bionda  Mario	1958  727,918
Birch  Samuel John Lamorna	1938  508,635
Bishop  Henry	1933  641,768
Bishop  Henry	1907  305,356
Bishop  Henry	1926  382,461
Bissier  Julius	1959  200,235
Bissill  George	1935  635,756
Blackadder  Elizabeth	1963  864,1118
Blake  Benjamin	1829  254,200
Blake  Peter	1955  1213,908
Blake  Peter	1976  664,498
Blake  Peter	1959  914,610
Blake  Peter	1965  552,267
Blake  Peter	1961  476,267
Blake  Peter	1981  992,1244
Blake  Peter	1961  537,493
Blake  Peter	1961  1743,1219
Blake  Peter	1965  1828,1528
Blake  Robert	1785  343,467
Blake  William	1824  373,527
Blake  William	1824  372,527
Blake  William	1820  902,297
Blake  William	1780  615,349
Blake  William	1792  217,295
Blake  William	1796  259,182
Blake  William	1796  265,185
Blake  William	1796  270,184
Blake  William	1796  260,186
Blake  William	1796  259,187
Blake  William	1796  250,187
Blake  William	1796  266,185
Blake  William	1796  257,184
Blake  William	1821  228,178
Blake  William	1819  155,205
Blake  William	1825  432,276
Blake  William	1779  435,338
Blake  William	1785  268,450
Blake  William	1803  378,371
Blake  William	1793  245,295
Blake  William	1803  354,293
Blake  William	1805  417,310
Blake  William	1805  413,300
Blake  William	1799  270,380
Blake  William	1799  260,375
Blake  William	1805  429,339
Blake  William	1803  367,303
Blake  William	1819  214,162
Blake  William	1826  325,433
Blake  William	1805  505,425
Blake  William	1795  406,499
Blake  William	1790  122,203
Blake  William	1805  415,348
Blake  William	1820  431,292
Blake  William	1800  237,343
Blake  William	1786  291,450
Blake  William	1794  92,166
Blake  William	1800  454,339
Blake  William	1805  508,370
Blake  William	1805  502,425
Blake  William	1805  740,627
Blake  William	1799  267,378
Blake  William	1805  272,456
Blake  William	1785  311,451
Blake  William	1786  475,675
Blake  William	1780  267,375
Blake  William	1800  384,340
Blake  William	1790  318,451
Blake  William	1779  123,175
Blake  William	1805  286,221
Blake  William	1819  296,235
Blake  William	1819  189,153
Blake  William	1785  108,80
Blake  William	1799  380,266
Blake  William	1795  432,535
Blake  William	1795  425,539
Blake  William	1795  431,608
Blake  William	1795  485,610
Blake  William	1795  543,725
Blake  William	1795  460,600
Blake  William	1795  445,594
Blake  William	1795  439,581
Blake  William	1795  431,536
Blake  William	1803  488,389
Blake  William	1805  762,625
Blake  William	1799  263,376
Blake  William	1796  109,102
Blake  William	1809  600,441
Blake  William	1795  75,115
Blake  William	1795  170,120
Blake  William	1827  528,371
Blake  William	1824  528,374
Blake  William	1824  527,373
Blake  William	1824  528,372
Blake  William	1826  326,432
Blake  William	1824  371,527
Blake  William	1824  527,374
Blake  William	1824  371,528
Blake  William	1824  372,528
Blake  William	1824  527,371
Blake  William	1824  527,368
Blamey  Norman	1959  1652,887
Blamey  Norman	1956  1524,889
Blamey  Norman	1993  1552,1093
Blamey  Norman	1984  1220,1220
Blanche  Jacques-Emile	1904  1108,864
Blanche  Jacques-Emile	1904  921,730
Blanche  Jacques-Emile	1938  502,610
Blanche  Jacques-Emile	1906  918,730
Blanche  Jacques-Emile	1887  267,165
Blanche  Jacques-Emile	1934  730,603
Blanche  Jacques-Emile	1910  1048,816
Blanche  Jacques-Emile	1895  810,651
Bland  Beatrice	1938  508,610
Bland  Beatrice	1927  457,349
Blees Luxemburg  Rut	1999  1500,2420
Bliss  Douglas Percy	1946  762,1016
Bloch  Martin	1925  914,737
Bloch  Martin	1937  498,571
Bloch  Martin	1948  711,921
Bloch  Martin	1952  1270,914
Blom  Ansuya	1993  250,200
Blom  Ansuya	1994  300,220
Blow  Sandra	1959  1518,1226
Blow  Sandra	1988  2600,2600
Bochner  Mel	1973  965,1270
Bochner  Mel	1969  247,179
Bock  Théophile de	1890  330,438
Boitard  Louis Philippe	1760  489,591
Bomberg  David	1920  352,502
Bomberg  David	1913  381,279
Bomberg  David	1942  745,972
Bomberg  David	1942  1056,649
Bomberg  David	1948  639,765
Bomberg  David	1911  222,902
Bomberg  David	1913  677,508
Bomberg  David	1935  468,633
Bomberg  David	1935  470,628
Bomberg  David	1943  915,715
Bomberg  David	1937  766,562
Bomberg  David	1943  914,718
Bomberg  David	1937  502,403
Bomberg  David	1929  660,514
Bomberg  David	1932  606,511
Bomberg  David	1929  333,438
Bomberg  David	1929  629,476
Bomberg  David	1919  311,203
Bomberg  David	1932  762,559
Bomberg  David	1918  3042,2438
Bomberg  David	1910  610,476
Bomberg  David	1913  619,619
Bomberg  David	1919  597,775
Bomberg  David	1914  1524,2242
Bomberg  David	1947  870,1073
Bomberg  David	1913  1962,2311
Bomberg  David	1912  559,686
Bomberg  David	1955  718,600
Bomberg  David	1912  1143,1372
Bomberg  David	1912  565,686
Bomberg  David	1925  565,752
Bomberg  David	1919  260,197
Bomberg  David	1945  508,638
Bomberg  David	1914  286,349
Bone  Sir Muirhead	1917  209,285
Bone  Sir Muirhead	1926  235,355
Bone  Sir Muirhead	1905  251,356
Bone  Sir Muirhead	1907  780,768
Bone  Sir Muirhead	1917  293,230
Bone  Sir Muirhead	1940  592,915
Bone  Sir Muirhead	1906  262,378
Bone  Sir Muirhead	1900  630,765
Bone  Sir Muirhead	1916  305,236
Bone  Sir Muirhead	1916  267,413
Bone  Sir Muirhead	1916  330,495
Bone  Sir Muirhead	1916  308,478
Bone  Sir Muirhead	1916  356,279
Bone  Sir Muirhead	1916  243,358
Bone  Sir Muirhead	1916  252,358
Bone  Sir Muirhead	1917  228,324
Bone  Sir Muirhead	1917  539,361
Bone  Sir Muirhead	1917  382,565
Bone  Sir Muirhead	1917  401,295
Bone  Sir Muirhead	1916  254,396
Bone  Stephen	1932  610,508
Bone  Stephen	1952  762,1022
Bone  Stephen	1928  1020,1270
Bonington  Richard Parkes	1825  213,342
Bonington  Richard Parkes	1825  643,967
Bonington  Richard Parkes	1826  206,265
Bonington  Richard Parkes	1828  1143,1626
Bonington  Richard Parkes	1826  206,289
Bonington  Richard Parkes	1826  356,451
Bonington  Richard Parkes	1827  457,375
Bonington  Richard Parkes	1824  314,438
Bonnard  Pierre	1923  571,527
Bonnard  Pierre	1925  1048,654
Bonnard  Pierre	1936  581,754
Bonnard  Pierre	1919  179,122
Bonnard  Pierre	1915  137,96
Bonnard  Pierre	1919  180,122
Bonnard  Pierre	1919  181,123
Bonnard  Pierre	1919  181,122
Bonnard  Pierre	1919  123,181
Bonnard  Pierre	1919  123,179
Bonnard  Pierre	1925  1029,743
Bonnard  Pierre	1919  441,346
Bonnard  Pierre	1913  600,832
Bonnard  Pierre	1915  730,1064
Bonnard  Pierre	1925  1086,886
Bonnard  Pierre	1925  860,1206
Bonnard  Pierre	1919  1162,1210
Bontecou  Lee	1961  686,997
Borofsky  Jonathan	1981  253,204
Borofsky  Jonathan	1976  355,279
Borofsky  Jonathan	1977  271,210
Borofsky  Jonathan	1977  355,307
Borofsky  Jonathan	1980  106,241
Borofsky  Jonathan	1979  242,153
Borofsky  Jonathan	1978  216,140
Borofsky  Jonathan	1979  163,98
Borofsky  Jonathan	1979  230,305
Borofsky  Jonathan	1980  298,210
Boshier  Derek	1973  489,702
Boshier  Derek	1980  1324,1022
Boshier  Derek	1962  1830,1832
Boswell  James	1937  341,505
Boswell  James	1937  342,506
Boswell  James	1947  762,1014
Boswell  James	1939  431,327
Boswell  James	1939  342,505
Boswell  James	1939  287,207
Boswell  James	1939  342,506
Boswell  James	1948  508,914
Boswell  James	1939  503,341
Boswell  James	1945  170,277
Boswell  James	1947  396,530
Boswell  James	1937  320,460
Boswell  James	1946  343,486
Boswell  James	1949  441,298
Boswell  James	1943  352,505
Boty  Pauline	1963  1224,1530
Bough  Samuel	1856  309,469
Bowen  Denis	1958  632,970
Bower  Edward	1646  1244,981
Bowey  Olwyn	1963  914,711
Bowler  Henry Alexander	1855  610,508
Bowling  Frank	1984  2285,2860
Bowling  Frank	1968  2364,1295
Bowling  Frank	1989  1780,1360
Box  E.	1951  502,362
Boxall  Sir William	1850  1156,838
Boyce  George Price	1866  222,337
Boyce  George Price	1868  249,182
Boyce  George Price	1858  278,393
Boyce  George Price	1863  161,224
Boyce  George Price	1857  298,479
Boyce  Sonia	1987  1240,3590
Boyce  Sonia	1985  1238,1830
Boyd  Arthur	1960  610,812
Boyd and Evans  Fionnuala and Leslie	1986  914,1372
Boys  Thomas Shotter	1830  200,295
Brabazon  Hercules Brabazon	1892  241,349
Brabazon  Hercules Brabazon	1860  254,368
Brabazon  Hercules Brabazon	1887  343,241
Brabazon  Hercules Brabazon	1868  140,305
Brabazon  Hercules Brabazon	1890  146,260
Bradford  Mark	2004  3175,4839
Bradley  Martin	1954  507,760
Bramley  Frank	1885  502,351
Bramley  Frank	1888  1226,1676
Brammer  Leonard	1931  216,235
Brangwyn  Sir Frank	1916  1575,2515
Branson  Clive	1940  637,763
Branson  Clive	1930  610,250
Branson  Clive	1937  406,507
Branson  Clive	1940  610,509
Branson  Clive	1940  509,612
Braque  Georges	1911  810,600
Braque  Georges	1925  670,543
Braque  Georges	1925  400,600
Braque  Georges	1909  711,559
Braque  Georges	1909  331,372
Braque  Georges	1945  891,1163
Braque  Georges	1924  295,350
Braque  Georges	1910  619,749
